1.0100e+02,-7.7500e-01,0.0000e+00
1.0200e+02,-7.7500e-01,9.6000e-01
1.0300e+02,-7.7500e-01,9.6000e-01
1.0400e+02,-7.7500e-01,1.2600e+00
1.0500e+02,-7.7500e-01,3.2700e+00
1.0600e+02,-7.7500e-01,4.2300e+00
1.0700e+02,-7.7500e-01,4.6700e+00
1.0800e+02,-7.7500e-01,5.3800e+00
1.0900e+02,-7.7500e-01,6.4200e+00
1.1000e+02,-7.7500e-01,7.4600e+00
1.1100e+02,-7.7500e-01,7.7300e+00
1.1200e+02,-7.7500e-01,8.2700e+00
1.1300e+02,-9.0500e-01,9.6000e-01
1.1400e+02,-6.4500e-01,9.6000e-01
1.1500e+02,-9.0500e-01,8.2700e+00
1.1600e+02,-6.4500e-01,8.2700e+00
2.0100e+02,7.7500e-01,0.0000e+00
2.0200e+02,7.7500e-01,9.6000e-01
2.0300e+02,7.7500e-01,9.6000e-01
2.0400e+02,7.7500e-01,1.2600e+00
2.0500e+02,7.7500e-01,3.2700e+00
2.0600e+02,7.7500e-01,4.2300e+00
2.0700e+02,7.7500e-01,4.6700e+00
2.0800e+02,7.7500e-01,5.3800e+00
2.0900e+02,7.7500e-01,6.4200e+00
2.1000e+02,7.7500e-01,7.4600e+00
2.1100e+02,7.7500e-01,7.7300e+00
2.1200e+02,7.7500e-01,8.2700e+00
2.1300e+02,6.4500e-01,9.6000e-01
2.1400e+02,9.0500e-01,9.6000e-01
2.1500e+02,6.4500e-01,8.2700e+00
2.1600e+02,9.0500e-01,8.2700e+00
3.0100e+02,0.0000e+00,3.2700e+00
3.0200e+02,0.0000e+00,3.2700e+00
3.0300e+02,0.0000e+00,4.2300e+00
3.0400e+02,0.0000e+00,4.2300e+00
3.0500e+02,0.0000e+00,5.3800e+00
3.0600e+02,0.0000e+00,5.3800e+00
3.0700e+02,0.0000e+00,6.4200e+00
3.0800e+02,0.0000e+00,6.4200e+00
3.0900e+02,0.0000e+00,7.4600e+00
3.1000e+02,0.0000e+00,7.4600e+00
4.0100e+02,1.7750e+00,9.6000e-01
4.0200e+02,1.7750e+00,4.6700e+00
4.0300e+02,1.7750e+00,4.6700e+00
4.0400e+02,1.7750e+00,4.6700e+00
4.0500e+02,1.7750e+00,7.7300e+00
4.0600e+02,1.7750e+00,7.7300e+00
